 великий любовь роща знать средь тьма слышать плыть рана златой
 сон печаль бледный глубокий бессилие сумрак иной уходить туманный детский
 долина луна холм старинный полутьма напев широкий нежный рваться стремиться
 бог война любовь наш звонкий железный стоить меч народ покинуть
 чёрный рот видеть тонкий тёмный крик ворота рука серый смерть
 пусть красный царь жить окно ткань зажечь огонь храм воздвигнуть
 святой заря сова утро мантия добро речь грядущий где-то жертва
 душа земля свет мочь весь свободный далёкий дух длинный бог
 всё смотреть кровь вино юный маг страшный спать упиться кричать
 дальний огромный раковина одеть красота долго ночь прилив мочь вопрос
 небо крыло грудь раб борьба держать страдание злоба опостылеть уронить
 взор тёмный увидеть лицо смеяться дева конь кольцо ясный отдать
 слеза жена чертог шептать усталый любить гора покинутый безмолвный алый
 дать радостный брат бездна храм печальный молчание крест прошлое свой
 идти свой видение правда дождь губа зимой злой угрожать зловещий
 воздух волна звучать камень вал пьяный стекло выйти берег холодный
 парус нега туман корабль вечерний чудесный долго милый почему пустынный
 солнце хороший небо яркий тихо стрела высь синий власть стрелка
 облако странный томить ночью день который дым нахлынуть кровь лёгкий
 умереть что-то скоро тишина смеяться дрожать стена жгучий печаль страстный
 жизнь книга речь ваш туча сидеть чертить горе стоить млада
 песня падать душа плод холодный высокий вставать зло белый прозрачный
 чужой стена медленно голова гневно особенно чадо сказка страсть мотылёк
 дорога сомнение костёр обет поднимать деревянный колокол блок объять блаженство
 сердце голос цвет напев конец безумный дышать тело влечь трепетный
 свой ждать могила лес унылый луна среди каждый поле хлеб
 сказать петь вода перила встать упад ду-д старый комната видеть
 смерть нежный молчать целовать милый прожить полно пускай земной застылый
 жрец жить струна красота берег золото помнить слабый роскошный гимн
 звезда свой день святой голубой вечный молодой мировой бег дарить
 всё прийти любить отчий уйти забыть ответить огонь сон поэт
 сверкать морской луч лиловый губа лёгкий пахнуть звенеть око влажный
 заря скоро тело всё голос чей-то крик погибнуть похожий смертный
 человек простить замирать встреча горячий город рыдать слепой злодей дать
 сердце ветер море бежать вера рядом песок стоить пучина цепь
 полный свет всё новый гореть сердце радость вечер мало время
 больной глаз самый понять улыбка сила могучий люцифер принести вино
 рука слово огонь судьба светлый уйти гном улыбнуться стать молитва
 твой призрак тяжкий год блуждать точно слагать зарево схима близкий
 жёлтый счастие стать поле глядеть солнечный мальчик мука безумие коса
 разлюбить полюбить осенний истома роза услышать мечтать дорогой потрясать жгучий
 тень закат сон цветок прежде это гордый сумрачный свет планета
 царица уста птица казаться плакать глаз невидимый хитон лес рыдать
 сердце новый счастие лишь душа угрюмый солнце луна слово многодумный
 знать хотеть видеть душа сегодня взгляд счастливый твой томление сладкий
 свой сила страшный измученный меч пламя огненный растоптать говорить след
 далеко бродить сад никто мир озеро запах земля изысканный жираф
 туман танец ночь чей дерево сиять тихий тяжёлый румянец чело
 говорить ещё нежный словно это плечо твердить пророк мечта напиток
 взор тайна наш мир покой мука подняться мгла думать ветвь
